File	Line	Term	Text
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	2	Dynasty	9300,armor,[TT] Helmet,Ashen Dynasty [TT] Helmet.,503,icon.armor_helmet_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	3	Dynasty	9301,armor,[TT] Breastplate,Ashen Dynasty [TT] Breastplate.,357,icon.armor_t64_u_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	4	Dynasty	9302,armor,[TT] Gaiters,Ashen Dynasty [TT] Gaiters.,383,icon.armor_t64_l_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	5	Dynasty	9303,armor,[TT] Gauntlets,Ashen Dynasty [TT] Gauntlets.,5710,icon.armor_t64_g_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	6	Dynasty	9304,armor,[TT] Boots,Ashen Dynasty [TT] Boots.,5726,icon.armor_t64_b_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	7	Dynasty	9330,armor,[TT] Leather Helmet,Ashen Dynasty [TT] Leather Helmet.,2415,icon.armor_leather_helmet_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	8	Dynasty	9331,armor,[TT] Leather Armor,Ashen Dynasty [TT] Leather Armor.,2390,icon.armor_t67_ul_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	9	Dynasty	9332,armor,[TT] Leather Gloves,Ashen Dynasty [TT] Leather Gloves.,5711,icon.armor_t65_g_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	10	Dynasty	9333,armor,[TT] Leather Boots,Ashen Dynasty [TT] Leather Boots.,5727,icon.armor_t65_b_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	11	Dynasty	9360,armor,[TT] Circlet,Ashen Dynasty [TT] Circlet.,2415,icon.armor_leather_helmet_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	12	Dynasty	9361,armor,[TT] Robe,Ashen Dynasty [TT] Robe.,2406,icon.armor_t59_ul_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	13	Dynasty	9362,armor,[TT] Gloves,Ashen Dynasty [TT] Gloves.,5712,icon.armor_t56_g_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	14	Dynasty	9363,armor,[TT] Shoes,Ashen Dynasty [TT] Shoes.,5728,icon.armor_t56_b_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	15	Dynasty	9400,armor,Draconic Heavy Helmet,Ashen Dynasty Draconic Heavy Helmet.,12210,icon.armor_helmet_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	16	Dynasty	9401,armor,Draconic Heavy Breastplate,Ashen Dynasty Draconic Heavy Breastplate.,12211,icon.armor_t1004_u_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	17	Dynasty	9402,armor,Draconic Heavy Gaiters,Ashen Dynasty Draconic Heavy Gaiters.,12212,icon.armor_t1004_l_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	18	Dynasty	9403,armor,Draconic Heavy Gauntlets,Ashen Dynasty Draconic Heavy Gauntlets.,12213,icon.armor_t1004_g_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	19	Dynasty	9404,armor,Draconic Heavy Boots,Ashen Dynasty Draconic Heavy Boots.,12214,icon.armor_t1004_b_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	20	Dynasty	9430,armor,[DRA] Leather Helmet,Ashen Dynasty [DRA] Leather Helmet.,6382,icon.armor_leather_helmet_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	21	Dynasty	9431,armor,[DRA] Leather Armor,Ashen Dynasty [DRA] Leather Armor.,6379,ct1icon.armor_t92_u_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	22	Dynasty	9432,armor,[DRA] Leather Gloves,Ashen Dynasty [DRA] Leather Gloves.,6380,ct1icon.armor_t92_g_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	23	Dynasty	9433,armor,[DRA] Leather Boots,Ashen Dynasty [DRA] Leather Boots.,6381,ct1icon.armor_t92_b_i00
