id,kind,name,description,clone_from,icon
9300,armor,Ashen TT Helmet,Ashen Dynasty Ashen TT Helmet.,6378,icon.armor_helmet_i00
9301,armor,Ashen TT Breastplate,Ashen Dynasty Ashen TT Breastplate.,6373,icon.armor_t88_u_i00
9302,armor,Ashen TT Gaiters,Ashen Dynasty Ashen TT Gaiters.,6374,icon.armor_t88_l_i00
9303,armor,Ashen TT Gauntlets,Ashen Dynasty Ashen TT Gauntlets.,6375,icon.armor_t88_g_i00
9304,armor,Ashen TT Boots,Ashen Dynasty Ashen TT Boots.,6376,icon.armor_t88_b_i00
9330,armor,Ashen TT Leather Helmet,Ashen Dynasty Ashen TT Leather Helmet.,6382,icon.armor_leather_helmet_i00
9331,armor,Ashen TT Leather Armor,Ashen Dynasty Ashen TT Leather Armor.,6379,icon.armor_t89_ul_i00
9332,armor,Ashen TT Leather Gloves,Ashen Dynasty Ashen TT Leather Gloves.,6380,icon.armor_t89_g_i00
9333,armor,Ashen TT Leather Boots,Ashen Dynasty Ashen TT Leather Boots.,6381,icon.armor_t89_b_i00
9360,armor,Ashen TT Circlet,Ashen Dynasty Ashen TT Circlet.,6386,icon.armor_leather_helmet_i00
9361,armor,Ashen TT Robe,Ashen Dynasty Ashen TT Robe.,6383,icon.armor_t90_ul_i00
9362,armor,Ashen TT Gloves,Ashen Dynasty Ashen TT Gloves.,6384,icon.armor_t90_g_i00
9363,armor,Ashen TT Shoes,Ashen Dynasty Ashen TT Shoes.,6385,icon.armor_t90_b_i00
9400,armor,Ashen Draconic Helmet,Ashen Dynasty Ashen Draconic Helmet.,6378,icon.armor_helmet_i00
9401,armor,Ashen Draconic Breastplate,Ashen Dynasty Ashen Draconic Breastplate.,6373,icon.armor_t88_u_i00
9402,armor,Ashen Draconic Gaiters,Ashen Dynasty Ashen Draconic Gaiters.,6374,icon.armor_t88_l_i00
9403,armor,Ashen Draconic Gauntlets,Ashen Dynasty Ashen Draconic Gauntlets.,6375,icon.armor_t88_g_i00
9404,armor,Ashen Draconic Boots,Ashen Dynasty Ashen Draconic Boots.,6376,icon.armor_t88_b_i00
9430,armor,Ashen Draconic Leather Helmet,Ashen Dynasty Ashen Draconic Leather Helmet.,6382,icon.armor_leather_helmet_i00
9431,armor,Ashen Draconic Leather Armor,Ashen Dynasty Ashen Draconic Leather Armor.,6379,icon.armor_t89_ul_i00
9432,armor,Ashen Draconic Leather Gloves,Ashen Dynasty Ashen Draconic Leather Gloves.,6380,icon.armor_t89_g_i00
9433,armor,Ashen Draconic Leather Boots,Ashen Dynasty Ashen Draconic Leather Boots.,6381,icon.armor_t89_b_i00
9460,armor,Ashen Draconic Circlet,Ashen Dynasty Ashen Draconic Circlet.,6386,icon.armor_leather_helmet_i00
9461,armor,Ashen Draconic Robe,Ashen Dynasty Ashen Draconic Robe.,6383,icon.armor_t90_ul_i00
9462,armor,Ashen Draconic Gloves,Ashen Dynasty Ashen Draconic Gloves.,6384,icon.armor_t90_g_i00
9463,armor,Ashen Draconic Shoes,Ashen Dynasty Ashen Draconic Shoes.,6385,icon.armor_t90_b_i00
9600,armor,Ashen DK Helmet,Ashen Dynasty Ashen DK Helmet.,6378,icon.armor_helmet_i00
9601,armor,Ashen DK Breastplate,Ashen Dynasty Ashen DK Breastplate.,6373,icon.armor_t88_u_i00
9602,armor,Ashen DK Gaiters,Ashen Dynasty Ashen DK Gaiters.,6374,icon.armor_t88_l_i00
9603,armor,Ashen DK Gauntlets,Ashen Dynasty Ashen DK Gauntlets.,6375,icon.armor_t88_g_i00
9604,armor,Ashen DK Boots,Ashen Dynasty Ashen DK Boots.,6376,icon.armor_t88_b_i00
9630,armor,Ashen DK Leather Helmet,Ashen Dynasty Ashen DK Leather Helmet.,6382,icon.armor_leather_helmet_i00
9631,armor,Ashen DK Leather Armor,Ashen Dynasty Ashen DK Leather Armor.,6379,icon.armor_t89_ul_i00
9632,armor,Ashen DK Leather Gloves,Ashen Dynasty Ashen DK Leather Gloves.,6380,icon.armor_t89_g_i00
9633,armor,Ashen DK Leather Boots,Ashen Dynasty Ashen DK Leather Boots.,6381,icon.armor_t89_b_i00
9660,armor,Ashen DK Circlet,Ashen Dynasty Ashen DK Circlet.,6386,icon.armor_leather_helmet_i00
9661,armor,Ashen DK Robe,Ashen Dynasty Ashen DK Robe.,6383,icon.armor_t90_ul_i00
9662,armor,Ashen DK Gloves,Ashen Dynasty Ashen DK Gloves.,6384,icon.armor_t90_g_i00
9663,armor,Ashen DK Shoes,Ashen Dynasty Ashen DK Shoes.,6385,icon.armor_t90_b_i00
9700,armor,Ashen Dynarty Helmet,Ashen Dynasty Ashen Dynarty Helmet.,6378,icon.armor_helmet_i00
9701,armor,Ashen Dynarty Breastplate,Ashen Dynasty Ashen Dynarty Breastplate.,6373,icon.armor_t88_u_i00
9702,armor,Ashen Dynarty Gaiters,Ashen Dynasty Ashen Dynarty Gaiters.,6374,icon.armor_t88_l_i00
9703,armor,Ashen Dynarty Gauntlets,Ashen Dynasty Ashen Dynarty Gauntlets.,6375,icon.armor_t88_g_i00
9704,armor,Ashen Dynarty Boots,Ashen Dynasty Ashen Dynarty Boots.,6376,icon.armor_t88_b_i00
9730,armor,Ashen Dynarty Leather Helmet,Ashen Dynasty Ashen Dynarty Leather Helmet.,6382,icon.armor_leather_helmet_i00
9731,armor,Ashen Dynarty Leather Armor,Ashen Dynasty Ashen Dynarty Leather Armor.,6379,icon.armor_t89_ul_i00
9732,armor,Ashen Dynarty Leather Gloves,Ashen Dynasty Ashen Dynarty Leather Gloves.,6380,icon.armor_t89_g_i00
9733,armor,Ashen Dynarty Leather Boots,Ashen Dynasty Ashen Dynarty Leather Boots.,6381,icon.armor_t89_b_i00
9760,armor,Ashen Dynarty Circlet,Ashen Dynasty Ashen Dynarty Circlet.,6386,icon.armor_leather_helmet_i00
9761,armor,Ashen Dynarty Robe,Ashen Dynasty Ashen Dynarty Robe.,6383,icon.armor_t90_ul_i00
9762,armor,Ashen Dynarty Gloves,Ashen Dynasty Ashen Dynarty Gloves.,6384,icon.armor_t90_g_i00
9763,armor,Ashen Dynarty Shoes,Ashen Dynasty Ashen Dynarty Shoes.,6385,icon.armor_t90_b_i00
9399,etc,Ashen TT Fragment,Ashen Dynasty Ashen TT Fragment.,1785,icon.etc_stone_gray_i00
9499,etc,Ashen Draconic Fragment,Ashen Dynasty Ashen Draconic Fragment.,1785,icon.etc_stone_gray_i00
9500,etc,Recipe: Ashen TT Helmet,Ashen Dynasty Recipe: Ashen TT Helmet.,3953,icon.etc_recipe_black_i00
9501,etc,Recipe: Ashen TT Breastplate,Ashen Dynasty Recipe: Ashen TT Breastplate.,3953,icon.etc_recipe_black_i00
9502,etc,Recipe: Ashen TT Gaiters,Ashen Dynasty Recipe: Ashen TT Gaiters.,3953,icon.etc_recipe_black_i00
9503,etc,Recipe: Ashen TT Gauntlets,Ashen Dynasty Recipe: Ashen TT Gauntlets.,3953,icon.etc_recipe_black_i00
9504,etc,Recipe: Ashen TT Boots,Ashen Dynasty Recipe: Ashen TT Boots.,3953,icon.etc_recipe_black_i00
9505,etc,Recipe: Ashen TT Shield,Ashen Dynasty Recipe: Ashen TT Shield.,3953,icon.etc_recipe_black_i00
